Location,Date,Average Value,Min,Max,Avg Bottom Ten Percent,Avg Top Ten Percent
Konza Bison,2018,-0.2918748427,-0.4228729308,-0.198505789,-0.3675181852,-0.2306000717
Konza Cattle,2018,-0.3057365808,-0.4317209125,-0.1576986015,-0.3731895519,-0.2501298011
Konza Bison,2020,-0.230766063,-0.342697233,-0.1416167468,-0.2926800042,-0.1673236076
Konza Cattle,2020,-0.2215303798,-0.3423095942,-0.06062767655,-0.2702122963,-0.1633715205
Konza Bison,2021,-0.3332029917,-0.4545992613,-0.2013515085,-0.4086315631,-0.2549592366
Konza Cattle,2021,-0.3390835588,-0.4602279365,-0.1693130136,-0.4101475841,-0.2686717544
