Location,Date,Average Value,Min,Max,Avg Bottom Ten Percent,Avg Top Ten Percent
Konza Bison,June 2018,0.08631052937,0.03128983088,0.1763383987,0.04839870683,0.1421276822
Konza Bison,June 2019,0.1166368725,0.005707077721,0.2195869473,0.06345807976,0.1664221307
Konza Bison,June 2020,0.1257522374,0.03039794556,0.2428786869,0.06809574375,0.1844337835
Konza Cattle,June 2018,0.0924318972,0.01397903621,0.196910443,0.05466691052,0.141635326
Konza Cattle,June 2019,0.1121136694,0.008646063288,0.2058740184,0.06227556491,0.1608151453
Konza Cattle,June 2020,0.110830558,0.01549986109,0.2142773844,0.0581587423,0.1695995607
